Attrition;Business Travel;CF_age band;CF_attrition label;Department;Education Field;emp no;Employee Number;Gender;Job Role;Marital Status;Over Time;Over18;Training Times Last Year;Age;CF_current Employee;Daily Rate;Distance From Home;Education;Employee Count;Environment Satisfaction;Hourly Rate;Job Involvement;Job Level;Job Satisfaction;Monthly Income;Monthly Rate;Num Companies Worked;Percent Salary Hike;Performance Rating;Relationship Satisfaction;Standard Hours;Stock Option Level;Total Working Years;Work Life Balance;Years At Company;Years In Current Role;Years Since Last Promotion;Years With Curr Manager
Yes;Travel_Rarely;35 - 44;Ex-Employees;R&D;Medical;STAFF-745;745;Female;Healthcare Representative;Married;No;Y;2;37;0;1141;11;Associates Degree;1;1;61;1;2;2;4777;14382;5;15;3;1;80;0;15;1;1;0;0;0
No;Travel_Frequently;Over 55;Current Employees;R&D;Medical;STAFF-746;746;Male;Healthcare Representative;Married;Yes;Y;3;55;1;135;18;Master's Degree;1;3;62;3;2;2;6385;12992;3;14;3;4;80;2;17;3;8;7;6;7
No;Non-Travel;35 - 44;Current Employees;R&D;Life Sciences;STAFF-747;747;Female;Research Director;Divorced;No;Y;3;41;1;247;7;High School;1;2;55;1;5;3;19973;20284;1;22;4;2;80;2;21;3;21;16;5;10
No;Travel_Rarely;35 - 44;Current Employees;Sales;Life Sciences;STAFF-748;748;Male;Sales Executive;Single;Yes;Y;1;38;1;1035;3;Master's Degree;1;2;42;3;2;4;6861;4981;8;12;3;3;80;0;19;3;1;0;0;0
Yes;Non-Travel;25 - 34;Ex-Employees;Sales;Medical;STAFF-749;749;Male;Sales Executive;Single;No;Y;6;26;0;265;29;Associates Degree;1;2;79;1;2;1;4969;21813;8;18;3;4;80;0;7;3;2;2;2;2
Yes;Travel_Rarely;45 - 54;Ex-Employees;Sales;Marketing;STAFF-750;750;Female;Manager;Married;No;Y;3;52;0;266;2;High School;1;1;57;1;5;4;19845;25846;1;15;3;4;80;1;33;3;32;14;6;9
No;Travel_Rarely;35 - 44;Current Employees;Sales;Medical;STAFF-751;751;Female;Sales Executive;Married;Yes;Y;2;44;1;1448;28;Bachelor's Degree;1;4;53;4;4;4;13320;11737;3;18;3;3;80;1;23;3;12;11;11;11
No;Non-Travel;45 - 54;Current Employees;Sales;Life Sciences;STAFF-752;752;Female;Sales Executive;Married;No;Y;3;50;1;145;1;Bachelor's Degree;1;4;95;3;2;3;6347;24920;0;12;3;1;80;1;19;3;18;7;0;13
Yes;Travel_Rarely;35 - 44;Ex-Employees;R&D;Life Sciences;STAFF-753;753;Female;Laboratory Technician;Single;No;Y;1;36;0;885;16;Master's Degree;1;3;43;4;1;1;2743;8269;1;16;3;3;80;0;18;3;17;13;15;14
No;Travel_Frequently;35 - 44;Current Employees;R&D;Medical;STAFF-754;754;Female;Manufacturing Director;Single;Yes;Y;2;39;1;945;22;Bachelor's Degree;1;4;82;3;3;1;10880;5083;1;13;3;3;80;0;21;3;21;6;2;8
No;Non-Travel;25 - 34;Current Employees;Sales;Life Sciences;STAFF-755;755;Female;Sales Representative;Single;No;Y;2;33;1;1038;8;High School;1;2;88;2;1;4;2342;21437;0;19;3;4;80;0;3;2;2;2;2;2
No;Travel_Rarely;45 - 54;Current Employees;Sales;Life Sciences;STAFF-756;756;Female;Manager;Married;No;Y;4;45;1;1234;11;Associates Degree;1;4;90;3;4;4;17650;5404;3;13;3;2;80;1;26;4;9;3;1;1
No;Non-Travel;25 - 34;Current Employees;R&D;Medical;STAFF-757;757;Female;Laboratory Technician;Single;No;Y;2;32;1;1109;29;Master's Degree;1;4;69;3;1;3;4025;11135;9;12;3;2;80;0;10;3;8;7;7;7
No;Travel_Rarely;25 - 34;Current Employees;Sales;Marketing;STAFF-758;758;Male;Sales Executive;Divorced;No;Y;2;34;1;216;1;Master's Degree;1;2;75;4;2;4;9725;12278;0;11;3;4;80;1;16;2;15;1;0;9
No;Travel_Rarely;Over 55;Current Employees;Sales;Technical Degree;STAFF-759;759;Male;Manager;Married;Yes;Y;1;59;1;1089;1;Associates Degree;1;2;66;3;3;4;11904;11038;3;14;3;3;80;1;14;1;6;4;0;4
No;Travel_Rarely;45 - 54;Current Employees;HR;Medical;STAFF-760;760;Male;Human Resources;Single;No;Y;3;45;1;788;24;Master's Degree;1;2;36;3;1;2;2177;8318;1;16;3;1;80;0;6;3;6;3;0;4
No;Travel_Frequently;45 - 54;Current Employees;Sales;Marketing;STAFF-761;761;Female;Sales Executive;Married;No;Y;2;53;1;124;2;Bachelor's Degree;1;3;38;2;3;2;7525;23537;2;12;3;1;80;1;30;3;15;7;6;12
Yes;Travel_Rarely;35 - 44;Ex-Employees;R&D;Other;STAFF-762;762;Male;Laboratory Technician;Divorced;No;Y;3;36;0;660;15;Bachelor's Degree;1;1;81;3;2;3;4834;7858;7;14;3;2;80;1;9;2;1;0;0;0
Yes;Travel_Frequently;25 - 34;Ex-Employees;R&D;Life Sciences;STAFF-763;763;Male;Research Scientist;Married;Yes;Y;2;26;0;342;2;Bachelor's Degree;1;1;57;3;1;1;2042;15346;6;14;3;2;80;1;6;3;3;2;1;2
No;Travel_Rarely;25 - 34;Current Employees;Sales;Life Sciences;STAFF-764;764;Female;Sales Representative;Married;Yes;Y;2;34;1;1333;10;Master's Degree;1;3;87;3;1;3;2220;18410;1;19;3;4;80;1;1;3;1;1;0;0
No;Travel_Rarely;25 - 34;Current Employees;Sales;Medical;STAFF-765;765;Male;Sales Representative;Married;No;Y;5;28;1;1144;10;High School;1;4;74;3;1;2;1052;23384;1;22;4;2;80;0;1;3;1;0;0;0
No;Travel_Frequently;35 - 44;Current Employees;R&D;Other;STAFF-766;766;Male;Research Scientist;Married;No;Y;2;38;1;1186;3;Master's Degree;1;3;44;3;1;3;2821;2997;3;16;3;1;80;1;8;3;2;2;2;2
No;Travel_Rarely;45 - 54;Current Employees;R&D;Medical;STAFF-767;767;Male;Research Director;Married;Yes;Y;2;50;1;1464;2;Master's Degree;1;2;62;3;5;3;19237;12853;2;11;3;4;80;1;29;2;8;1;7;7
No;Travel_Rarely;35 - 44;Current Employees;R&D;Other;STAFF-768;768;Female;Healthcare Representative;Single;No;Y;3;37;1;124;3;Bachelor's Degree;1;4;35;3;2;2;4107;13848;3;15;3;1;80;0;8;2;4;3;0;1
No;Travel_Rarely;35 - 44;Current Employees;Sales;Marketing;STAFF-769;769;Male;Sales Executive;Married;No;Y;3;40;1;300;26;Bachelor's Degree;1;3;74;3;2;1;8396;22217;1;14;3;2;80;1;8;2;7;7;7;5
No;Travel_Frequently;25 - 34;Current Employees;R&D;Medical;STAFF-770;770;Female;Research Scientist;Divorced;No;Y;5;26;1;921;1;High School;1;1;66;2;1;3;2007;25265;1;13;3;3;80;2;5;3;5;3;1;3
No;Travel_Rarely;45 - 54;Current Employees;R&D;Medical;STAFF-771;771;Male;Research Director;Divorced;No;Y;0;46;1;430;1;Master's Degree;1;4;40;3;5;4;19627;21445;9;17;3;4;80;2;23;3;2;2;2;2
No;Travel_Rarely;45 - 54;Current Employees;Sales;Life Sciences;STAFF-772;772;Female;Sales Executive;Married;No;Y;4;54;1;1082;2;Master's Degree;1;3;41;2;3;3;10686;8392;6;11;3;2;80;1;13;3;9;4;7;0
No;Travel_Frequently;Over 55;Current Employees;R&D;Medical;STAFF-773;773;Female;Research Scientist;Married;No;Y;4;56;1;1240;9;Bachelor's Degree;1;1;63;3;1;3;2942;12154;2;19;3;2;80;1;18;3;5;4;0;3
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-774;774;Female;Manufacturing Director;Single;No;Y;2;36;1;796;12;Doctoral Degree;1;4;51;2;3;4;8858;15669;0;11;3;2;80;0;15;2;14;8;7;8
No;Non-Travel;Over 55;Current Employees;R&D;Medical;STAFF-775;775;Male;Manager;Single;No;Y;3;55;1;444;2;High School;1;3;40;2;4;1;16756;17323;7;15;3;2;80;0;31;4;9;7;6;2
No;Travel_Rarely;35 - 44;Current Employees;Sales;Medical;STAFF-776;776;Male;Sales Executive;Divorced;No;Y;5;43;1;415;25;Bachelor's Degree;1;3;79;2;3;4;10798;5268;5;13;3;3;80;1;18;3;1;0;0;0
Yes;Travel_Frequently;Under 25;Ex-Employees;Sales;Marketing;STAFF-777;777;Female;Sales Representative;Single;Yes;Y;3;20;0;769;9;Bachelor's Degree;1;4;54;3;1;4;2323;17205;1;14;3;2;80;0;2;3;2;2;0;2
Yes;Travel_Rarely;Under 25;Ex-Employees;R&D;Life Sciences;STAFF-778;778;Female;Laboratory Technician;Single;No;Y;6;21;0;1334;10;Bachelor's Degree;1;3;36;2;1;1;1416;17258;1;13;3;1;80;0;1;2;1;0;1;0
No;Travel_Rarely;45 - 54;Current Employees;R&D;Life Sciences;STAFF-779;779;Female;Research Scientist;Divorced;Yes;Y;2;46;1;1003;8;Master's Degree;1;4;74;2;2;1;4615;21029;8;23;4;1;80;3;19;3;16;13;1;7
Yes;Travel_Rarely;45 - 54;Ex-Employees;R&D;Life Sciences;STAFF-780;780;Male;Research Scientist;Married;Yes;Y;2;51;0;1323;4;Master's Degree;1;1;34;3;1;3;2461;10332;9;12;3;3;80;3;18;4;10;0;2;7
Yes;Non-Travel;25 - 34;Ex-Employees;R&D;Technical Degree;STAFF-781;781;Male;Healthcare Representative;Single;No;Y;2;28;0;1366;24;Associates Degree;1;2;72;2;3;1;8722;12355;1;12;3;1;80;0;10;2;10;7;1;9
No;Travel_Rarely;25 - 34;Current Employees;R&D;Medical;STAFF-782;782;Male;Laboratory Technician;Married;No;Y;2;26;1;192;1;Associates Degree;1;1;59;2;1;1;3955;11141;1;16;3;1;80;2;6;3;5;3;1;3
No;Travel_Rarely;25 - 34;Current Employees;R&D;Other;STAFF-783;783;Male;Manufacturing Director;Married;No;Y;1;30;1;1176;20;Bachelor's Degree;1;3;85;3;2;1;9957;9096;0;15;3;3;80;1;7;2;6;2;0;2
No;Travel_Rarely;35 - 44;Current Employees;R&D;Technical Degree;STAFF-784;784;Female;Research Scientist;Married;No;Y;3;41;1;509;7;Associates Degree;1;2;43;4;1;3;3376;18863;1;13;3;3;80;0;10;3;10;6;0;8
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-785;785;Female;Healthcare Representative;Married;No;Y;4;38;1;330;17;High School;1;3;65;2;3;3;8823;24608;0;18;3;1;80;1;20;2;19;9;1;9
No;Travel_Rarely;35 - 44;Current Employees;R&D;Technical Degree;STAFF-786;786;Male;Healthcare Representative;Married;No;Y;6;40;1;1492;20;Master's Degree;1;1;61;3;3;4;10322;26542;4;20;4;4;80;1;14;3;11;10;11;1
No;Non-Travel;25 - 34;Current Employees;R&D;Life Sciences;STAFF-787;787;Male;Laboratory Technician;Married;No;Y;4;27;1;1277;8;Doctoral Degree;1;1;87;1;1;3;4621;5869;1;19;3;4;80;3;3;3;3;2;1;2
No;Travel_Frequently;Over 55;Current Employees;R&D;Life Sciences;STAFF-788;788;Male;Manufacturing Director;Married;No;Y;4;55;1;1091;2;High School;1;4;65;3;3;2;10976;15813;3;18;3;2;80;1;23;3;3;2;1;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Other;STAFF-789;789;Female;Research Scientist;Single;No;Y;4;28;1;857;10;Bachelor's Degree;1;3;59;3;2;3;3660;7909;3;13;3;4;80;0;10;4;8;7;1;7
Yes;Travel_Rarely;35 - 44;Ex-Employees;HR;Medical;STAFF-790;790;Male;Human Resources;Married;No;Y;1;44;0;1376;1;Associates Degree;1;2;91;2;3;1;10482;2326;9;14;3;4;80;1;24;3;20;6;3;6
No;Travel_Rarely;25 - 34;Current Employees;R&D;Life Sciences;STAFF-791;791;Male;Healthcare Representative;Divorced;No;Y;2;33;1;654;5;Bachelor's Degree;1;4;34;2;3;4;7119;21214;4;15;3;3;80;1;9;3;3;2;1;2
Yes;Travel_Rarely;35 - 44;Ex-Employees;Sales;Technical Degree;STAFF-792;792;Male;Sales Executive;Single;Yes;Y;2;35;0;1204;4;Bachelor's Degree;1;4;86;3;3;1;9582;10333;0;22;4;1;80;0;9;3;8;7;4;7
Yes;Travel_Frequently;25 - 34;Ex-Employees;R&D;Medical;STAFF-793;793;Female;Research Scientist;Single;No;Y;4;33;0;827;29;Master's Degree;1;1;54;2;2;3;4508;3129;1;22;4;2;80;0;14;3;13;7;3;8
No;Travel_Rarely;25 - 34;Current Employees;R&D;Life Sciences;STAFF-794;794;Male;Laboratory Technician;Divorced;No;Y;5;28;1;895;15;Associates Degree;1;1;50;3;1;3;2207;22482;1;16;3;4;80;1;4;2;4;2;2;2
No;Travel_Frequently;25 - 34;Current Employees;R&D;Life Sciences;STAFF-795;795;Male;Healthcare Representative;Single;No;Y;1;34;1;618;3;High School;1;1;45;3;2;4;7756;22266;0;17;3;3;80;0;7;2;6;2;0;4
No;Travel_Rarely;35 - 44;Current Employees;Sales;Life Sciences;STAFF-796;796;Female;Sales Executive;Divorced;Yes;Y;5;37;1;309;10;Master's Degree;1;4;88;2;2;4;6694;24223;2;14;3;3;80;3;8;3;1;0;0;0
Yes;Travel_Rarely;25 - 34;Ex-Employees;R&D;Technical Degree;STAFF-797;797;Male;Laboratory Technician;Married;Yes;Y;3;25;0;1219;4;High School;1;4;32;3;1;4;3691;4605;1;15;3;2;80;1;7;4;7;7;5;6
Yes;Travel_Rarely;25 - 34;Ex-Employees;R&D;Medical;STAFF-798;798;Male;Laboratory Technician;Divorced;No;Y;0;26;0;1330;21;Bachelor's Degree;1;1;37;3;1;3;2377;19373;1;20;4;3;80;1;1;2;1;1;0;0
Yes;Travel_Rarely;25 - 34;Ex-Employees;R&D;Medical;STAFF-799;799;Male;Research Scientist;Single;Yes;Y;0;33;0;1017;25;Bachelor's Degree;1;1;55;2;1;2;2313;2993;4;20;4;2;80;0;5;3;2;2;2;2
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-800;800;Male;Manager;Married;No;Y;3;42;1;469;2;Associates Degree;1;4;35;3;4;1;17665;14399;0;17;3;4;80;1;23;3;22;6;13;7
Yes;Travel_Frequently;25 - 34;Ex-Employees;R&D;Medical;STAFF-801;801;Male;Laboratory Technician;Divorced;No;Y;2;28;0;1009;1;Bachelor's Degree;1;1;45;2;1;2;2596;7160;1;15;3;1;80;2;1;3;1;0;0;0
Yes;Travel_Frequently;45 - 54;Ex-Employees;Sales;Other;STAFF-802;802;Male;Sales Executive;Single;Yes;Y;4;50;0;959;1;Master's Degree;1;4;81;3;2;3;4728;17251;3;14;3;4;80;0;5;3;0;0;0;0
No;Travel_Frequently;25 - 34;Current Employees;Sales;Life Sciences;STAFF-803;803;Female;Sales Executive;Married;No;Y;3;33;1;970;7;Bachelor's Degree;1;4;30;3;2;2;4302;13401;0;17;3;3;80;1;4;3;3;2;0;2
No;Non-Travel;25 - 34;Current Employees;R&D;Life Sciences;STAFF-804;804;Male;Research Scientist;Married;No;Y;2;34;1;697;3;Master's Degree;1;3;40;2;1;4;2979;22478;3;17;3;4;80;3;6;3;0;0;0;0
No;Non-Travel;45 - 54;Current Employees;R&D;Medical;STAFF-805;805;Male;Manager;Single;No;Y;3;48;1;1262;1;Master's Degree;1;1;35;4;4;4;16885;16154;2;22;4;3;80;0;27;2;5;4;2;1
No;Non-Travel;45 - 54;Current Employees;Sales;Life Sciences;STAFF-806;806;Female;Sales Executive;Married;No;Y;2;45;1;1050;9;Master's Degree;1;2;65;2;2;3;5593;17970;1;13;3;4;80;1;15;3;15;10;4;12
No;Travel_Rarely;45 - 54;Current Employees;R&D;Life Sciences;STAFF-807;807;Male;Healthcare Representative;Single;No;Y;4;52;1;994;7;Master's Degree;1;2;87;3;3;2;10445;15322;7;19;3;4;80;0;18;3;8;6;4;0
No;Travel_Rarely;35 - 44;Current Employees;Sales;Marketing;STAFF-808;808;Male;Sales Executive;Divorced;Yes;Y;2;38;1;770;10;Master's Degree;1;3;73;2;3;3;8740;5569;0;14;3;2;80;2;9;3;8;7;2;7
No;Travel_Rarely;25 - 34;Current Employees;R&D;Life Sciences;STAFF-809;809;Female;Research Scientist;Divorced;No;Y;1;29;1;1107;28;Master's Degree;1;3;93;3;1;4;2514;26968;4;22;4;1;80;1;11;3;7;5;1;7
No;Travel_Rarely;25 - 34;Current Employees;R&D;Medical;STAFF-810;810;Female;Manufacturing Director;Divorced;No;Y;3;28;1;950;3;Bachelor's Degree;1;4;93;3;3;2;7655;8039;0;17;3;2;80;3;10;2;9;7;1;7
No;Travel_Rarely;45 - 54;Current Employees;Sales;Marketing;STAFF-811;811;Male;Manager;Married;No;Y;3;46;1;406;3;High School;1;1;52;3;4;3;17465;15596;3;12;3;4;80;1;23;3;12;9;4;9
No;Travel_Rarely;35 - 44;Current Employees;Sales;Marketing;STAFF-812;812;Male;Sales Executive;Single;No;Y;2;38;1;130;2;Associates Degree;1;4;32;3;3;2;7351;20619;7;16;3;3;80;0;10;3;1;0;0;0
No;Travel_Frequently;35 - 44;Current Employees;R&D;Life Sciences;STAFF-813;813;Female;Manufacturing Director;Married;No;Y;1;43;1;1082;27;Bachelor's Degree;1;3;83;3;3;1;10820;11535;8;11;3;3;80;1;18;3;8;7;0;1
Yes;Travel_Frequently;35 - 44;Ex-Employees;R&D;Life Sciences;STAFF-814;814;Male;Healthcare Representative;Divorced;No;Y;4;39;0;203;2;Bachelor's Degree;1;1;84;3;4;4;12169;13547;7;11;3;4;80;3;21;3;18;7;11;5
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-815;815;Male;Research Director;Single;No;Y;2;40;1;1308;14;Bachelor's Degree;1;3;44;2;5;3;19626;17544;1;14;3;1;80;0;21;4;20;7;4;9
No;Travel_Rarely;Under 25;Current Employees;R&D;Technical Degree;STAFF-816;816;Female;Research Scientist;Single;Yes;Y;6;21;1;984;1;High School;1;4;70;2;1;2;2070;25326;1;11;3;3;80;0;2;4;2;2;2;2
No;Non-Travel;35 - 44;Current Employees;R&D;Life Sciences;STAFF-817;817;Male;Laboratory Technician;Single;No;Y;2;39;1;439;9;Bachelor's Degree;1;3;70;3;2;2;6782;8770;9;15;3;3;80;0;9;2;5;4;0;3
No;Non-Travel;35 - 44;Current Employees;R&D;Life Sciences;STAFF-818;818;Male;Manufacturing Director;Single;No;Y;0;36;1;217;18;Master's Degree;1;1;78;3;2;4;7779;23238;2;20;4;1;80;0;18;3;11;9;0;9
No;Travel_Frequently;25 - 34;Current Employees;Sales;Life Sciences;STAFF-819;819;Male;Sales Representative;Married;No;Y;4;31;1;793;20;Bachelor's Degree;1;3;67;4;1;4;2791;21981;0;12;3;1;80;1;3;3;2;2;2;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Life Sciences;STAFF-820;820;Male;Research Scientist;Married;No;Y;2;28;1;1451;2;High School;1;1;67;2;1;2;3201;19911;0;17;3;1;80;0;6;1;5;3;0;4
No;Travel_Frequently;35 - 44;Current Employees;Sales;Marketing;STAFF-821;821;Male;Sales Executive;Divorced;No;Y;3;35;1;1182;11;Associates Degree;1;4;54;3;2;4;4968;18500;1;11;3;4;80;1;5;3;5;2;0;2
No;Travel_Rarely;45 - 54;Current Employees;Sales;Technical Degree;STAFF-822;822;Male;Sales Executive;Married;No;Y;3;49;1;174;8;Master's Degree;1;4;56;2;4;2;13120;11879;6;17;3;2;80;1;22;3;9;8;2;3
No;Travel_Frequently;25 - 34;Current Employees;R&D;Life Sciences;STAFF-823;823;Male;Manufacturing Director;Single;No;Y;3;34;1;1003;2;Associates Degree;1;4;95;3;2;3;4033;15834;2;11;3;4;80;0;5;2;3;2;0;2
No;Travel_Frequently;25 - 34;Current Employees;R&D;Life Sciences;STAFF-824;824;Female;Research Scientist;Divorced;No;Y;2;29;1;490;10;Bachelor's Degree;1;4;61;3;1;2;3291;17940;0;14;3;4;80;2;8;2;7;5;1;1
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-825;825;Male;Laboratory Technician;Single;No;Y;3;42;1;188;29;Bachelor's Degree;1;2;56;1;2;4;4272;9558;4;19;3;1;80;0;16;3;1;0;0;0
No;Travel_Rarely;25 - 34;Current Employees;R&D;Medical;STAFF-826;826;Male;Manufacturing Director;Married;Yes;Y;2;29;1;718;8;High School;1;2;79;2;2;4;5056;17689;1;15;3;3;80;1;10;2;10;7;1;2
No;Travel_Rarely;35 - 44;Current Employees;HR;Human Resources;STAFF-827;827;Male;Human Resources;Married;No;Y;2;38;1;433;1;Bachelor's Degree;1;3;37;4;1;3;2844;6004;1;13;3;4;80;1;7;4;7;6;5;0
No;Travel_Frequently;25 - 34;Current Employees;R&D;Life Sciences;STAFF-828;828;Male;Research Scientist;Divorced;Yes;Y;2;28;1;773;6;Bachelor's Degree;1;3;39;2;1;3;2703;22088;1;14;3;4;80;1;3;3;3;1;0;2
Yes;Non-Travel;Under 25;Ex-Employees;R&D;Medical;STAFF-829;829;Male;Laboratory Technician;Single;No;Y;0;18;0;247;8;High School;1;3;80;3;1;3;1904;13556;1;12;3;4;80;0;0;3;0;0;0;0
Yes;Travel_Rarely;25 - 34;Ex-Employees;Sales;Marketing;STAFF-830;830;Female;Sales Executive;Single;Yes;Y;3;33;0;603;9;Master's Degree;1;1;77;3;2;1;8224;18385;0;17;3;1;80;0;6;3;5;2;0;3
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-831;831;Male;Laboratory Technician;Married;Yes;Y;4;41;1;167;12;Master's Degree;1;2;46;3;1;4;4766;9051;3;11;3;1;80;1;6;3;1;0;0;0
Yes;Travel_Frequently;25 - 34;Ex-Employees;R&D;Medical;STAFF-832;832;Male;Laboratory Technician;Married;No;Y;5;31;0;874;15;Bachelor's Degree;1;3;72;3;1;3;2610;6233;1;12;3;3;80;1;2;2;2;2;2;2
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-833;833;Female;Healthcare Representative;Divorced;No;Y;2;37;1;367;25;Associates Degree;1;3;52;2;2;4;5731;17171;7;13;3;3;80;2;9;3;6;2;1;3
No;Travel_Rarely;25 - 34;Current Employees;R&D;Life Sciences;STAFF-834;834;Male;Research Scientist;Married;No;Y;0;27;1;199;6;Bachelor's Degree;1;4;55;2;1;3;2539;7950;1;13;3;3;80;1;4;3;4;2;2;2
No;Travel_Rarely;25 - 34;Current Employees;Sales;Life Sciences;STAFF-835;835;Female;Sales Executive;Married;No;Y;3;34;1;1400;9;High School;1;2;70;3;2;3;5714;5829;1;20;4;1;80;0;6;2;6;5;1;3
No;Travel_Rarely;35 - 44;Current Employees;HR;Technical Degree;STAFF-836;836;Male;Human Resources;Single;No;Y;2;35;1;528;8;Master's Degree;1;3;100;3;1;3;4323;7108;1;17;3;2;80;0;6;1;5;4;1;4
Yes;Travel_Rarely;25 - 34;Ex-Employees;Sales;Life Sciences;STAFF-837;837;Female;Sales Executive;Married;No;Y;3;29;0;408;23;High School;1;4;45;2;3;1;7336;11162;1;13;3;1;80;1;11;1;11;8;3;10
No;Travel_Frequently;35 - 44;Current Employees;R&D;Medical;STAFF-838;838;Female;Research Director;Single;No;Y;3;40;1;593;9;Master's Degree;1;2;88;3;3;3;13499;13782;9;17;3;3;80;0;20;2;18;7;2;13
Yes;Travel_Frequently;35 - 44;Ex-Employees;Sales;Life Sciences;STAFF-839;839;Male;Sales Executive;Single;Yes;Y;2;42;0;481;12;Bachelor's Degree;1;3;44;3;4;1;13758;2447;0;12;3;2;80;0;22;2;21;9;13;14
No;Travel_Rarely;35 - 44;Current Employees;Sales;Marketing;STAFF-840;840;Male;Sales Executive;Single;No;Y;3;42;1;647;4;Master's Degree;1;2;45;3;2;1;5155;2253;7;13;3;4;80;0;9;4;6;4;1;5
No;Travel_Rarely;35 - 44;Current Employees;R&D;Medical;STAFF-841;841;Male;Laboratory Technician;Married;No;Y;2;35;1;982;1;Master's Degree;1;4;58;2;1;3;2258;16340;6;12;3;2;80;1;10;3;8;0;1;7
No;Travel_Rarely;Under 25;Current Employees;R&D;Medical;STAFF-842;842;Male;Laboratory Technician;Single;No;Y;2;24;1;477;24;Bachelor's Degree;1;4;49;3;1;2;3597;6409;8;22;4;4;80;0;6;3;4;3;1;2
Yes;Travel_Rarely;25 - 34;Ex-Employees;R&D;Life Sciences;STAFF-843;843;Female;Laboratory Technician;Married;Yes;Y;4;28;0;1485;12;High School;1;3;79;3;1;4;2515;22955;1;11;3;4;80;0;1;2;1;1;0;0
No;Travel_Rarely;25 - 34;Current Employees;R&D;Medical;STAFF-844;844;Male;Laboratory Technician;Married;No;Y;2;26;1;1384;3;Master's Degree;1;1;82;4;1;4;4420;13421;1;22;4;2;80;1;8;3;8;7;0;7
No;Travel_Rarely;25 - 34;Current Employees;Sales;Marketing;STAFF-845;845;Male;Sales Executive;Married;No;Y;3;30;1;852;10;Bachelor's Degree;1;3;72;2;2;3;6578;2706;1;18;3;1;80;1;10;3;10;3;1;4
No;Travel_Frequently;35 - 44;Current Employees;R&D;Medical;STAFF-846;846;Female;Research Scientist;Married;Yes;Y;3;40;1;902;26;Associates Degree;1;3;92;2;2;4;4422;21203;3;13;3;4;80;1;16;1;1;1;0;0
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-847;847;Male;Manufacturing Director;Divorced;No;Y;2;35;1;819;2;Bachelor's Degree;1;3;44;2;3;2;10274;19588;2;18;3;2;80;1;15;4;7;7;6;4
No;Travel_Frequently;25 - 34;Current Employees;R&D;Medical;STAFF-848;848;Male;Healthcare Representative;Single;No;Y;3;34;1;669;1;Bachelor's Degree;1;4;97;2;2;1;5343;25755;0;20;4;3;80;0;14;3;13;9;4;9
No;Travel_Frequently;35 - 44;Current Employees;R&D;Other;STAFF-849;849;Male;Laboratory Technician;Married;No;Y;2;35;1;636;4;Master's Degree;1;4;47;2;1;4;2376;26537;1;13;3;2;80;1;2;4;2;2;2;2
Yes;Travel_Rarely;35 - 44;Ex-Employees;Sales;Marketing;STAFF-850;850;Female;Sales Executive;Single;No;Y;2;43;0;1372;9;Bachelor's Degree;1;1;85;1;2;3;5346;9489;8;13;3;2;80;0;7;2;4;3;1;3
No;Non-Travel;25 - 34;Current Employees;Sales;Life Sciences;STAFF-851;851;Female;Sales Representative;Divorced;No;Y;3;32;1;862;2;High School;1;3;76;3;1;1;2827;14947;1;12;3;3;80;3;1;3;1;0;0;0
No;Travel_Rarely;Over 55;Current Employees;R&D;Technical Degree;STAFF-852;852;Female;Manager;Divorced;No;Y;2;56;1;718;4;Master's Degree;1;4;92;3;5;1;19943;18575;4;13;3;4;80;1;28;3;5;2;4;2
No;Travel_Rarely;25 - 34;Current Employees;R&D;Medical;STAFF-853;853;Female;Laboratory Technician;Married;No;Y;5;29;1;1401;6;High School;1;2;54;3;1;4;3131;26342;1;13;3;1;80;1;10;3;10;8;0;8
No;Travel_Rarely;Under 25;Current Employees;R&D;Life Sciences;STAFF-854;854;Male;Research Scientist;Single;No;Y;4;19;1;645;9;Associates Degree;1;3;54;3;1;1;2552;7172;1;25;4;3;80;0;1;3;1;1;0;0
No;Travel_Rarely;45 - 54;Current Employees;R&D;Medical;STAFF-855;855;Female;Research Scientist;Married;Yes;Y;2;45;1;1457;7;Bachelor's Degree;1;1;83;3;1;3;4477;20100;4;19;3;3;80;1;7;2;3;2;0;2
No;Travel_Rarely;35 - 44;Current Employees;R&D;Life Sciences;STAFF-856;856;Female;Manufacturing Director;Married;No;Y;2;37;1;977;1;Bachelor's Degree;1;4;56;2;2;4;6474;9961;1;13;3;2;80;1;14;2;14;8;3;11
No;Travel_Rarely;Under 25;Current Employees;R&D;Life Sciences;STAFF-857;857;Male;Laboratory Technician;Single;No;Y;2;20;1;805;3;Bachelor's Degree;1;1;87;2;1;3;3033;12828;1;12;3;1;80;0;2;2;2;2;1;2
